ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,0,CINEMA.TXT,0.35227,0.33333,0.34254,1
ROUGE-1,1,CINEMA.TXT,0.62162,0.30872,0.41256,1
ROUGE-1,4,CINEMA.TXT,0.68116,0.55952,0.61438,1
ROUGE-1,7,CINEMA.TXT,0.79845,0.79231,0.79537,1
ROUGE-1,8,CINEMA.TXT,0.75,0.71642,0.73282,1
ROUGE-1,10,CINEMA.TXT,0.78261,0.73973,0.76056,1
ROUGE-1,11,CINEMA.TXT,0.68293,0.62222,0.65116,1
ROUGE-1,12,CINEMA.TXT,0.78889,0.71,0.74737,1
ROUGE-1,14,CINEMA.TXT,0.79688,0.73913,0.76692,1
ROUGE-1,15,CINEMA.TXT,0.68468,0.63866,0.66087,1
ROUGE-1,17,CINEMA.TXT,0.85088,0.75194,0.79835,1
ROUGE-1,18,CINEMA.TXT,0.56818,0.625,0.59524,1
ROUGE-1,19,CINEMA.TXT,0.85965,0.77165,0.81328,1
ROUGE-1,25,CINEMA.TXT,0.94737,0.94737,0.94737,1
ROUGE-1,26,CINEMA.TXT,0.80208,0.78571,0.79381,1
ROUGE-1,27,CINEMA.TXT,0.69886,0.85417,0.76875,1
ROUGE-1,28,CINEMA.TXT,0.6,0.58442,0.59211,1
ROUGE-1,31,CINEMA.TXT,0.66038,0.625,0.6422,1
ROUGE-1,32,CINEMA.TXT,0.93701,0.94444,0.94071,1
ROUGE-1,34,CINEMA.TXT,0.97849,0.97849,0.97849,1
ROUGE-1,37,CINEMA.TXT,0.96774,0.97826,0.97297,1
ROUGE-1,41,CINEMA.TXT,0.57895,0.47312,0.52071,1
ROUGE-1,43,CINEMA.TXT,0.7619,0.55172,0.64,1
ROUGE-1,44,CINEMA.TXT,0.45946,0.425,0.44156,1
ROUGE-1,47,CINEMA.TXT,0.68421,0.50485,0.58101,1
ROUGE-1,49,CINEMA.TXT,0.73282,0.70073,0.71642,1
ROUGE-1,50,CINEMA.TXT,0.66667,0.64516,0.65574,1
ROUGE-1,51,CINEMA.TXT,0.66292,0.71951,0.69006,1
ROUGE-1,52,CINEMA.TXT,0.75862,0.94624,0.84211,1
ROUGE-1,57,CINEMA.TXT,0.63043,0.64925,0.63971,1
ROUGE-1,58,CINEMA.TXT,0.65278,0.53409,0.5875,1
ROUGE-1,59,CINEMA.TXT,0.62857,0.42308,0.50575,1
ROUGE-1,60,CINEMA.TXT,0.80952,0.77273,0.7907,1
ROUGE-1,61,CINEMA.TXT,0.60714,0.48113,0.53684,1
ROUGE-1,63,CINEMA.TXT,0.71074,0.7963,0.75109,1
ROUGE-1,64,CINEMA.TXT,0.5375,0.64179,0.58503,1
ROUGE-1,69,CINEMA.TXT,0.67368,0.72727,0.69945,1
ROUGE-1,70,CINEMA.TXT,0.72174,0.75455,0.73778,1
ROUGE-1,71,CINEMA.TXT,0.84946,0.76699,0.80612,1
ROUGE-1,73,CINEMA.TXT,0.39286,0.38938,0.39111,1
ROUGE-1,74,CINEMA.TXT,0.77679,0.78378,0.78027,1
ROUGE-1,76,CINEMA.TXT,0.81967,0.81301,0.81633,1
ROUGE-1,77,CINEMA.TXT,0.75309,0.7439,0.74847,1
ROUGE-1,78,CINEMA.TXT,0.72527,0.88,0.79518,1
ROUGE-1,80,CINEMA.TXT,0.69492,0.62121,0.656,1
ROUGE-1,81,CINEMA.TXT,0.88571,0.82667,0.85517,1
ROUGE-1,82,CINEMA.TXT,0.63636,0.75,0.68852,1
ROUGE-1,84,CINEMA.TXT,0.90909,0.95238,0.93023,1
ROUGE-1,90,CINEMA.TXT,0.68182,0.61224,0.64516,1
ROUGE-1,98,CINEMA.TXT,0.61429,0.43434,0.50888,1
ROUGE-1,44,SPORTS.TXT,0.46575,0.11765,0.18785,1
ROUGE-1,45,SPORTS.TXT,0.67692,0.44,0.53333,1
ROUGE-1,46,SPORTS.TXT,0.87013,0.88158,0.87582,1
ROUGE-1,47,SPORTS.TXT,0.85714,0.45,0.59016,1
ROUGE-1,48,SPORTS.TXT,0.64706,0.55696,0.59864,1
ROUGE-1,49,SPORTS.TXT,0.78788,0.88136,0.832,1
ROUGE-1,50,SPORTS.TXT,0.58333,0.5303,0.55556,1
ROUGE-1,51,SPORTS.TXT,0.98361,0.96774,0.97561,1
ROUGE-1,52,SPORTS.TXT,0.85714,0.61224,0.71429,1
ROUGE-1,53,SPORTS.TXT,0.85714,0.88421,0.87047,1
ROUGE-1,10,SPORTS.TXT,0.54054,0.57143,0.55556,1
ROUGE-1,54,SPORTS.TXT,0.39048,0.31783,0.35043,1
ROUGE-1,11,SPORTS.TXT,0.77174,0.69608,0.73196,1
ROUGE-1,55,SPORTS.TXT,0.68,0.85,0.75556,1
ROUGE-1,12,SPORTS.TXT,0.75926,0.57746,0.656,1
ROUGE-1,56,SPORTS.TXT,0.70588,0.6,0.64865,1
ROUGE-1,13,SPORTS.TXT,0.42308,0.12941,0.1982,1
